3
ИОТАС start. size: 2
РЕГ start. size: 2
k: k: 0
sock for recv: 4
0
sock for recv: 5
channel from: 7
РЕГ accepted
k: 1
РЕГ finish
channel from: 6
ИОТАС accepted
k: 1
sock for recv: 4
channel from: 8
ИОТАС accepted
ИОТАС finish
after join
after join
ИОТАС получил сообщений 20000 цепочек 10000
ИОТАС отправил сообщений 10000 цепочек 10000
Mаксимальная длина очереди: 234
ТОИАС получил сообщений 10000 цепочек 10000
ТОИАС отправил сообщений 10000 цепочек 10000
Mаксимальная длина очереди: 27
РЕГ получил сообщений 20000 цепочек 10000
Mаксимальная длина очереди: 260
2 326809215348
2 326809782297
2 326811535944
2 326811927775
2 326813679710
2 326813922006
2 326815637279
3 326817467519
2 326817846839
3 326819195784
3 326822204343
3 326822226046
4 326825209489
3 326825231177
2 326827174201
3 326830176819
4 326831403671
2 326832018052
3 326833392996
2 326833864602
2 326835432119
2 326835649663
2 326837451870
2 326838448672
2 326840071729
5 326842222662
3 326846381916
6 326850203344
7 326850440429
5 326854029496
4 326854470740
3 326858995906
8 326861957612
5 326862168546
3 326865357562
3 326865637303
3 326867770047
4 326869837143
2 326869855096
3 326871605884
3 326873497262
3 326874532900
4 326876766274
3 326877109617
2 326878697678
2 326880800949
7 326885709978
5 326885964935
2 326888501171
3 326888759290
4 326891745821
3 326891768514
8 326899180388
7 326899415846
2 326901830559
6 326904927384
3 326906210567
8 326913407832
8 326913681018
4 326916841956
4 326917570874
6 326922665994
6 326923131769
3 326926107786
6 326928466008
10 326937400919
8 326937951644
5 326940819845
4 326940872108
3 326943386645
3 326943978820
2 326950279916
8 326951778755
7 326952828850
2 326953704903
3 326955598094
3 326957185721
2 326957456427
7 326963565646
6 326963773237
3 326966721594
5 326968870766
5 326972232892
3 326972254242
7 326978252803
7 326979588969
4 326982840467
3 326983585897
3 326986871692
3 326986906606
5 326990809443
5 326990864056
3 326993393733
5 326995376593
2 326996067754
6 327002241116
6 327002271934
3 327005105081
5 327007944675
3 327007996442
3 327010019424
3 327010371260
4 327014015848
3 327014403951
3 327016824251
3 327017314779
3 327019207285
3 327019603749
6 327025048195
7 327026826393
3 327028599519
2 327029050162
4 327032938602
5 327034895207
4 327037369423
3 327037570519
5 327042244372
6 327042478222
3 327044962120
2 327045688179
3 327051694216
4 327052102561
7 327054843259
7 327055613120
3 327057224220
3 327058997017
7 327064964845
7 327065842176
4 327068398910
3 327068784493
3 327071232427
4 327072197474
3 327075759738
3 327076041236
4 327080138338
5 327082016301
3 327082342954
5 327085480713
3 327085529605
3 327088877580
3 327090312258
3 327091162422
4 327094301396
2 327094341756
2 327095541909
9 327102253808
7 327104038774
8 327112572970
106 327216440949
2 327218608147
2 327220427863
3 327223306766
2 327225173048
2 327227500455
4 327231614990
2 327234225019
4 327236918293
5 327242223249
3 327245564425
3 327248658129
2 327250707947
2 327257688116
7 327259513109
3 327264118642
4 327268869360
4 327271101003
2 327273065890
3 327276114635
2 327278124865
4 327280993003
4 327286041943
2 327287626387
2 327289345773
2 327291596391
3 327295412605
3 327298199526
4 327302754449
7 327311247296
211 327314995637
3 327316574663
3 327317705462
5 327318830309
3 327319876906
4 327321972977
3 327322757277
2 327327187486
5 327327215833
5 327330197478
2 327330207456
6 327337166624
6 327337197421
9 327344966195
9 327345191377
5 327349624516
5 327349962375
3 327351864534
3 327352833733
11 327363700718
11 327364081479
3 327367876633
4 327367901364
7 327374305129
7 327374338801
2 327375666041
3 327377887726
3 327378798080
3 327380376252
4 327382689534
2 327383140635
2 327384367529
5 327387796503
4 327388359404
3 327390424218
2 327390937309
2 327392026072
5 327395323724
3 327395678331
3 327398621587
3 327398896711
2 327401153928
2 327401585067
5 327405626202
5 327405850516
4 327409799791
5 327410422775
4 327414023333
3 327414547916
3 327415966423
3 327416595294
3 327419470464
5 327421918601
5 327424619797
3 327424981894
2 327426621480
2 327427004564
4 327431104755
4 327431129146
2 327432372909
5 327435375412
4 327436918276
6 327442514086
6 327443182581
9 327451167214
9 327451550718
3 327454547235
4 327455324605
3 327461744612
7 327462873602
8 327465111403
3 327465646115
2 327468282755
2 327468541105
7 327475214162
7 327475248036
2 327477815834
2 327477826809
6 327484173709
6 327484210873
5 327488193306
5 327488227764
3 327491201172
3 327491222904
3 327494144350
3 327494166071
5 327499184993
5 327499216468
5 327504192538
5 327504228970
4 327507910132
4 327508284953
4 327511749358
4 327512115603
202 327714134516
202 327714802855
4 327717604032
4 327717972798
2 327719927189
3 327721080924
4 327725049024
3 327725476943
10 327735319538
117 327850648738
2 327852092691
3 327855130422
2 327858323483
2 327859809185
2 327862935843
2 327866309435
6 327871947911
2 327876240619
2 327877801341
5 327883962644
2 327886971044
2 327889015735
3 327893926478
5 327898616391
2 327899980130
3 327904414359
2 327905838266
2 327908811001
2 327911390670
2 327914135013
